Materia,Coeficiente,Intercepto,R²,RMSE,Coef_SE,Coef_CI_Lower,Coef_CI_Upper,t_stat,p_value,Significativo
GRAMMAR,1.0061715059162673,56.208576814924726,0.10736391163920134,10.053957416836209,0.012807933511312831,0.9810678253408103,1.0312751864917242,78.55845792980958,0.0,True
SPEAKING,2.7542928410478393,30.857964644584712,0.07952456412524567,10.209534066958069,0.041368003250782236,2.6732111319075758,2.835374550188103,66.5802703686395,0.0,True
LISTENING,0.7381754252661875,57.132354058246,0.05796822907793553,10.328389226582807,0.013137004060502677,0.712426763051315,0.76392408748106,56.19054556628811,0.0,True
WRITING,1.0753764960020282,53.98809063516922,0.030947602094092197,10.475468403583417,0.026565601939170725,1.0233076447086766,1.1274453472953798,40.480034989020744,0.0,True
READING,0.6807182333682077,58.361032371155424,0.05483888762403122,10.345529974997305,0.012475988914797828,0.6562651675942955,0.7051712991421198,54.56226660804457,0.0,True
