"_id","location.address.city","location.address.state","location.address.street1","location.address.street2","location.address.zipcode","location.geo.type","theaterId"
"59a47287cfa9a3a73e51e99f","Duluth","MN","1600 Miller Trunk Highway","#L01A","55811","Point",2718
"59a47287cfa9a3a73e51e9a0","Greendale","WI","5300 S 76 Street","#590","53129","Point",2719
"59a47287cfa9a3a73e51e9a1","San Diego","CA","1640 Camino Del Rio North","#322","92108","Point",2711
"59a47287cfa9a3a73e51e9a2","Mayfield Heights","OH","1417 Golden Gate Blvd","","44124","Point",271
"59a47287cfa9a3a73e51e9a3","Wauwatosa","WI","2401 North Mayfair Road","","53226","Point",26
"59a47287cfa9a3a73e51e9a4","Daytona Beach","FL","1700 W International Speedway Blvd.","#578","32114","Point",2723
"59a47287cfa9a3a73e51e9a5","Orlando","FL","8001 South Orange Blossom Trail","#780","32809","Point",2724
"59a47287cfa9a3a73e51e9a6","Brookfield","WI","95 North Moorland Rd","#D-30","53005","Point",2715
"59a47287cfa9a3a73e51e9a7","Fort Wayne","IN","4201 Coldwater Road","#G10","46805","Point",2727
"59a47287cfa9a3a73e51e9a8","Canoga Park","CA","6600 Topanga Canyon Boulevard","#1022","91303","Point",2728
"59a47287cfa9a3a73e51e9a9","Clearwater","FL","27001 US Highway 19 North","#2050","33761","Point",2729
"59a47287cfa9a3a73e51e9aa","Aurora","CO","14200 East Alameda Avenue","#2011","80012","Point",2730
"59a47287cfa9a3a73e51e9ab","Greenville","SC","1125 Woodruff Rd","","29607","Point",272
"59a47287cfa9a3a73e51e9ac","Greensboro","NC","410 Four Seasons Town Centre","#131","27407","Point",2731
"59a47287cfa9a3a73e51e9ad","Winston Salem","NC","3320 Silas Creek Parkway","#FL-2232","27103","Point",2732
"59a47287cfa9a3a73e51e9ae","Newport News","VA","12300 Jefferson Avenue","#403","23602","Point",2733
"59a47287cfa9a3a73e51e9af","Altamonte Springs","FL","451 East Altamonte Drive","#1141","32701","Point",2734
"59a47287cfa9a3a73e51e9b0","Happy Valley","OR","12000 SE 82nd Avenue","","97086","Point",2736
"59a47287cfa9a3a73e51e9b1","Green Bay","WI","639 Bay Park Square","","54304","Point",2735
"59a47287cfa9a3a73e51e9b2","Appleton","WI","4301 West Wisconsin Ave","#232","54913","Point",2738
"59a47287cfa9a3a73e51e9b3","Lakewood","CO","14500 West Colfax Avenue","#260","80401","Point",2737
"59a47287cfa9a3a73e51e9b4","Virginia Beach","VA","701 Lynnhaven Parkway","#B11B","23452","Point",2739
"59a47287cfa9a3a73e51e9b5","Fairfax","VA","13058 Fairlakes Shopping Ctr","","22033","Point",273
"59a47287cfa9a3a73e51e9b6","Denver","CO","3000 East First Ave","#296","80206","Point",2740
"59a47287cfa9a3a73e51e9b7","Aurora","IL","1208 Fox Valley Center Drive","#H5","60504","Point",2743
"59a47287cfa9a3a73e51e9b8","Chicago Ridge","IL","578 Chicago Ridge Mall","Suite 412 A1","60415","Point",2741
"59a47287cfa9a3a73e51e9b9","Jacksonville","FL","10300 Southside Blvd","#3140","32256","Point",2744
"59a47287cfa9a3a73e51e9ba","Fayetteville","NC","237 Cross Creek Mall","#TC-7","28303","Point",2746
"59a47287cfa9a3a73e51e9bb","St. Peters","MO","1232 Mid Rivers Mall","","63376","Point",2748
"59a47287cfa9a3a73e51e9bc","Portland","OR","1061 Lloyd Center","SPC #B228","97232","Point",2747
"59a47287cfa9a3a73e51e9bd","Dayton","OH","131 Mall Woods Dr","","45449","Point",274
"59a47287cfa9a3a73e51e9be","Santa Rosa","CA","1024 Santa Rosa Plaza","","95401","Point",2750
"59a47287cfa9a3a73e51e9bf","San Bruno","CA","1150 El Camino Real","#111","94066","Point",2751
"59a47287cfa9a3a73e51e9c0","Concord","CA","357 Sun Valley Mall","#E202B","94520","Point",2752
"59a47287cfa9a3a73e51e9c1","Wichita","KS","4600 W. Kellogg Drive","#Q15","67209","Point",2753
"59a47287cfa9a3a73e51e9c2","Tulsa","OK","7021 South Memorial Drive","#217","74133","Point",2754
"59a47287cfa9a3a73e51e9c3","Tukwila","WA","841 Southcenter Mall","","98188","Point",2755
"59a47287cfa9a3a73e51e9c4","Chattanooga","TN","2100 Hamilton Place Blvd.","#153","37421","Point",2758
"59a47287cfa9a3a73e51e9c5","Eau Claire","WI","4800 Golf Road","#402","54701","Point",2757
"59a47287cfa9a3a73e51e9c6","Fairview Heights","IL","134 St. Clair Square","#154B","62208","Point",2759
"59a47287cfa9a3a73e51e9c7","Little Rock","AR","11800 Chenal Pkwy","","72211","Point",275
"59a47287cfa9a3a73e51e9c8","Joliet","IL","3340 Mall Loop Drive","#1326","60431","Point",2761
"59a47287cfa9a3a73e51e9c9","Omaha","NE","10000 California St.","#2688","68114","Point",2762
"59a47287cfa9a3a73e51e9ca","Sioux Falls","SD","5000 W Empire Mall","#326","57106","Point",2763
"59a47287cfa9a3a73e51e9cb","Murfreesboro","TN","1720 Old Fort Parkway","#C130","37129","Point",2764
"59a47287cfa9a3a73e51e9cc","Huntsville","AL","2801 Memorial Parkway SW","#108","35801","Point",2766
"59a47287cfa9a3a73e51e9cd","Overland Park","KS","11525 Metcalf Ave","","66210","Point",277
"59a47287cfa9a3a73e51e9ce","Tuscaloosa","AL","1701 McFarland Blvd. East","D27/D28","35404","Point",2767
"59a47287cfa9a3a73e51e9cf","Gretna","LA","197 Westbank Expressway","#1315","70053","Point",2772
"59a47287cfa9a3a73e51e9d0","Arlington","VA","1201 S Hayes St","Ste B","22202","Point",276
"59a47287cfa9a3a73e51e9d1","Fayetteville","AR","4201 N Shiloh Dr.","#1505","72703","Point",2773
"59a47287cfa9a3a73e51e9d2","Louisville","KY","4801 Outer Loop","#C572","40219","Point",2774
"59a47287cfa9a3a73e51e9d3","Fairfield","CA","1350 Travis Blvd.","#H16","94533","Point",2777
"59a47287cfa9a3a73e51e9d4","Roseville","CA","1151 Galleria Blvd.","#2245","95678","Point",2776
"59a47287cfa9a3a73e51e9d5","San Jose","CA","925 Blossom Hill Road","#1699","95123","Point",2778
"59a47287cfa9a3a73e51e9d6","Modesto","CA","3401 Dale Rd.","#180","95356","Point",2779
"59a47287cfa9a3a73e51e9d7","Bloomington","IL","1615 East Empire St","#1410","61701","Point",2765
"59a47287cfa9a3a73e51e9d8","Goodlettsville","TN","1000 Rivergate Pkwy","#1970","37072","Point",2780
"59a47287cfa9a3a73e51e9d9","Cincinnati","OH","4601 Eastgate Mall","#312","45245","Point",2794
"59a47287cfa9a3a73e51e9da","St. Petersburg","FL","6901 Tyrone Square","","33710","Point",2784
"59a47287cfa9a3a73e51e9db","Madison","WI","132 W Towne Mall","","53719","Point",2783
"59a47287cfa9a3a73e51e9dc","Toledo","OH","5001 Monroe Street","#1255","43623","Point",2785
"59a47287cfa9a3a73e51e9dd","Beavercreek","OH","2727 Fairfield Commons","#E225","45431","Point",2786
"59a47287cfa9a3a73e51e9de","Akron","OH","2000 Brittain Road","#480","44310","Point",2789
"59a47287cfa9a3a73e51e9df","Cuyahoga Falls","OH","445 Howe Ave.","","44221","Point",278
"59a47287cfa9a3a73e51e9e0","North Olmsted","OH","228 Great Northern Mall","","44070","Point",2791
"59a47287cfa9a3a73e51e9e1","Rochester","NY","271 Greece Ridge Center Drive","#J4","14626","Point",2801
"59a47287cfa9a3a73e51e9e2","Rochester","NY","501 Miracle Mile Drive","","14623","Point",2802
"59a47287cfa9a3a73e51e9e3","Sacramento","CA","1689 Arden Way","#2054","95815","Point",2781
"59a47287cfa9a3a73e51e9e4","Louisville","KY","7900 Shelbyville Rd","#D13","40222","Point",2795
"59a47287cfa9a3a73e51e9e5","Lincoln","NE","5 Gateway Mall","#200","68505","Point",2796
"59a47287cfa9a3a73e51e9e6","St. Louis","MO","123 W County Center","#2095","63131","Point",2797
